"Numéro","Nom","Rang","Bac","","Bulletins","L. Motiv.","Libre","Limite","Ent. FA","Remarque","","EVALN"
"668276","#REF!","431/1724","S Informatique et Sciences du numérique","","-1","-0.5","0","","","","",""
"668374","#REF!","651/1724","S Informatique et Sciences du numérique","","1","0.5","0","","","","",""
"682375","#REF!","572/1724","S Informatique et Sciences du numérique","","0","0.5","0.5","","","","",""
"688680","#REF!","463/1724","S Informatique et Sciences du numérique","","0","0","0","","","","",""
"698638","#REF!","438/1724","S Informatique et Sciences du numérique","","0","-0.5","0","","","","",""
"699062","#REF!","531/1724","S Informatique et Sciences du numérique","","0.5","0","0","","","","",""
"713467","#REF!","621/1724","S Informatique et Sciences du numérique","","1","0.5","0","","","","",""
"727870","#REF!","835/1724","S Informatique et Sciences du numérique","","-0.5","0","0","","","","",""
"731091","#REF!","888/1724","S Informatique et Sciences du numérique","","0","-0.5","0","","","","",""
"731205","#REF!","1168/1724","S Informatique et Sciences du numérique","","-1","0","0","","","","",""
"773454","#REF!","799/1724","S Informatique et Sciences du numérique","","0","0","0","","","","",""
"786161","#REF!","539/1724","S Informatique et Sciences du numérique","","0","0.5","0","","","","",""
"821954","#REF!","674/1724","S Informatique et Sciences du numérique","","0.5","0","0","","","","",""
"453900","#REF!","1221/1724","STI2D Architecture et construction  ","","1","0.5","","","","","",""
"167066","#REF!","1091/1724","STI2D Energies et environnement  ","","-2","-1","","","","","",""
"178189","#REF!","1227/1724","STI2D Energies et environnement  ","","-1","-1","","","","","",""
"214165","#REF!","1257/1724","STI2D Energies et environnement  ","","-2","0","","","","","",""
"437243","#REF!","1174/1724","STI2D Energies et environnement  ","","1","0.5","","","","","",""
"437282","#REF!","1238/1724","STI2D Energies et environnement  ","","-1","0","","","","","",""
"437310","#REF!","1202/1724","STI2D Energies et environnement  ","","0","-1","","","","","",""
"437324","#REF!","1221/1724","STI2D Energies et environnement  ","","0","-1","","","","","",""
"504562","#REF!","1253/1724","STI2D Energies et environnement  ","","0","-1","","","","","",""
"504647","#REF!","1191/1724","STI2D Energies et environnement  ","","-1","0","","","","","",""
"512304","#REF!","818/1724","STI2D Energies et environnement  ","","2","0","","","","","",""
"512344","#REF!","1154/1724","STI2D Energies et environnement  ","","-1","-0.5","","","","","",""
"512345","#REF!","857/1724","STI2D Energies et environnement  ","","0","0","","","","","",""
"512361","#REF!","1032/1724","STI2D Energies et environnement  ","","1","0","","","","","",""
"512403","#REF!","1233/1724","STI2D Energies et environnement  ","","-1","0","","","","","",""
"628900","#REF!","1260/1724","STI2D Energies et environnement  ","","-3","0","","","","","",""
"632876","#REF!","1208/1724","STI2D Energies et environnement  ","","-2","0","","","","","",""
"654183","#REF!","1181/1724","STI2D Energies et environnement  ","","0","0.5","","","","","",""
"654229","#REF!","1244/1724","STI2D Energies et environnement  ","","0","0.5","","","","","",""
"688751","#REF!","894/1724","STI2D Energies et environnement  ","","1","0","","","","","",""
"688894","#REF!","869/1724","STI2D Energies et environnement  ","","1","0","","","","","",""
"703931","#REF!","1224/1724","STI2D Energies et environnement  ","","1","1","","","","","",""
"765449","#REF!","1163/1724","STI2D Energies et environnement  ","","1","0.5","","","","","",""
"765535","#REF!","1097/1724","STI2D Energies et environnement  ","","1","0.5","","","","","",""
"777031","#REF!","1129/1724","STI2D Energies et environnement  ","","-1","0","","","","","",""
"151785","#REF!","1194/1724","STI2D Innovation Technologique et Eco conception  ","","1","0","","","","","",""
"259651","#REF!","1152/1724","STI2D Innovation Technologique et Eco conception  ","","-3","1","","","","","",""
"285002","#REF!","1188/1724","STI2D Innovation Technologique et Eco conception  ","","1","0.5","","","","","",""
"437035","#REF!","1136/1724","STI2D Innovation Technologique et Eco conception  ","","1","0","","","","","",""
"437188","#REF!","1197/1724","STI2D Innovation Technologique et Eco conception  ","","1","0.5","","","","","",""
"437335","#REF!","1205/1724","STI2D Innovation Technologique et Eco conception  ","","1","0","","","","","",""
"438473","#REF!","1242/1724","STI2D Innovation Technologique et Eco conception  ","","0","0","","","","","",""
"438542","#REF!","1189/1724","STI2D Innovation Technologique et Eco conception  ","","1","-1","","","","","",""
"527088","#REF!","1174/1724","STI2D Innovation Technologique et Eco conception  ","","1","0.5","","","","","",""
"527206","#REF!","1210/1724","STI2D Innovation Technologique et Eco conception  ","","1","1","","","","","",""
"527238","#REF!","1233/1724","STI2D Innovation Technologique et Eco conception  ","","1","0.5","","","","","",""
"713519","#REF!","1240/1724","STI2D Innovation Technologique et Eco conception  ","","1","0","","","","","",""
"713746","#REF!","1158/1724","STI2D Innovation Technologique et Eco conception  ","","0","0.5","","","","","",""
"170058","#REF!","464/1724","STI2D Système informatique et numérique","","1","0.5","0","","","","",""
"176438","#REF!","636/1724","STI2D Système informatique et numérique","","-0.5","0","","","","","",""
"176462","#REF!","556/1724","STI2D Système informatique et numérique","","-1","-0.5","","","","","",""
"176476","#REF!","783/1724","STI2D Système informatique et numérique","","0","-0.5","","","","","",""
"176515","#REF!","502/1724","STI2D Système informatique et numérique","","1","0.5","","","","","",""
"176527","#REF!","1100/1724","STI2D Système informatique et numérique","","-1","-0.5","","","","","",""
"188122","#REF!","912/1724","STI2D Système informatique et numérique","","-0.5","0","","","","","",""
"284978","#REF!","1065/1724","STI2D Système informatique et numérique","","-2.5","-0.5","","","","","",""
"285005","#REF!","1118/1724","STI2D Système informatique et numérique","","-0.5","-1","","","","","",""
"285021","#REF!","1033/1724","STI2D Système informatique et numérique","","0.5","0.5","","","","","",""
"285082","#REF!","946/1724","STI2D Système informatique et numérique","","-2","-0.5","","","","","",""
"285179","#REF!","1083/1724","STI2D Système informatique et numérique","","-0.5","0","","","","","",""
"285327","#REF!","1050/1724","STI2D Système informatique et numérique","","-1","-0.5","","","","","",""
"285387","#REF!","1053/1724","STI2D Système informatique et numérique","","-1","-0.5","","","","","",""
"298059","#REF!","452/1724","STI2D Système informatique et numérique","","0","-0.5","-0.5","","","","",""
"325444","#REF!","782/1724","STI2D Système informatique et numérique","","0.5","0.5","","","","","",""
"332403","#REF!","808/1724","STI2D Système informatique et numérique","","0","0.5","","","","","",""
"335054","#REF!","981/1724","STI2D Système informatique et numérique","","-1","0","","","","","",""
"390996","#REF!","803/1724","STI2D Système informatique et numérique","","-1","-0.5","","","","","",""
"438510","#REF!","1112/1724","STI2D Système informatique et numérique","","-1","-0.5","","","","","",""
"450975","#REF!","789/1724","STI2D Système informatique et numérique","","0.5","-0.5","","","","","",""
"451031","#REF!","835/1724","STI2D Système informatique et numérique","","1","-0.5","","","","","",""
"451094","#REF!","1182/1724","STI2D Système informatique et numérique","","-2","0.5","","","","","",""
"490218","#REF!","455/1724","STI2D Système informatique et numérique","","0.5","0.5","","","","","",""
"504521","#REF!","989/1724","STI2D Système informatique et numérique","","0","0.5","","","","","",""
"504535","#REF!","1100/1724","STI2D Système informatique et numérique","","-1","0","","","","","",""
"504546","#REF!","1076/1724","STI2D Système informatique et numérique","","-1","0.5","","","","","",""
"504547","#REF!","832/1724","STI2D Système informatique et numérique","","0","0.5","","","","","",""
"504690","#REF!","434/1724","STI2D Système informatique et numérique","","1","-0.5","","","","","",""
"504733","#REF!","482/1724","STI2D Système informatique et numérique","","1.5","-0.5","","","","","",""
"567584","#REF!","777/1724","STI2D Système informatique et numérique","","1","-0.5","","","","","",""
"567675","#REF!","785/1724","STI2D Système informatique et numérique","","0.5","-0.5","","","","","",""
"576078","#REF!","884/1724","STI2D Système informatique et numérique","","-1","0.5","","","","","",""
"576109","#REF!","1048/1724","STI2D Système informatique et numérique","","-1","0","","","","","",""
"576135","#REF!","1203/1724","STI2D Système informatique et numérique","","-2","0","","","","","",""
"576170","#REF!","488/1724","STI2D Système informatique et numérique","","0.5","0.5","0.5","","","","",""
"576282","#REF!","1082/1724","STI2D Système informatique et numérique","","0","-0.5","","","","","",""
"576301","#REF!","496/1724","STI2D Système informatique et numérique","","-2","-0.5","","","","","",""
"576381","#REF!","1199/1724","STI2D Système informatique et numérique","","-1.5","-0.5","","","","","",""
"576518","#REF!","932/1724","STI2D Système informatique et numérique","","0","0.5","","","","","",""
"576559","#REF!","948/1724","STI2D Système informatique et numérique","","-1","0","","","","","",""
"576590","#REF!","1201/1724","STI2D Système informatique et numérique","","-2","0.5","","","","","",""
"619256","#REF!","620/1724","STI2D Système informatique et numérique","","0","-0.5","","","","","",""
"629248","#REF!","743/1724","STI2D Système informatique et numérique","","0","0","","","","","",""
"632626","#REF!","1005/1724","STI2D Système informatique et numérique","","-0.5","0","","","","","",""
"632734","#REF!","874/1724","STI2D Système informatique et numérique","","-1","0","","","","","",""
"632843","#REF!","730/1724","STI2D Système informatique et numérique","","1","-0.5","","","","","",""
"642603","#REF!","902/1724","STI2D Système informatique et numérique","","-0.5","0","","","","","",""
"656392","#REF!","539/1724","STI2D Système informatique et numérique","","1","0","","","","","",""
"668251","#REF!","989/1724","STI2D Système informatique et numérique","","-2","-0.5","","","","","",""
"673370","#REF!","866/1724","STI2D Système informatique et numérique","","-1","-0.5","","","","","",""
